14:16:01.886 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.889 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.890 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.890 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.890 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.890 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.890 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.890 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.890 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.891 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.891 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.891 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.891 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.891 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.891 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.892 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.892 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.892 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.892 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.892 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.892 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.893 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.893 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.893 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.893 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.893 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.893 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.893 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.894 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.894 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.894 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.894 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.894 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.894 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.895 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.895 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.895 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.895 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.895 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.895 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.896 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.896 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.896 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.896 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.896 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.897 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.897 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.897 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.897 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
14:16:01.897 [main] DEBUG commandBased - command test.IntegerCommand@782663d3 run() called; m_canceled=false
